t,x_ref,y_ref,x,y,psi,delta,v,delta_dot
0.05, 1.87668, 2.30288, 0.01, 0, 0.000100021, 0.025, 0.2, 0.5
0.1, 1.88063, 2.30773, 0.03, 2.00042e-06, 0.000500355, 0.05, 0.4, 0.5
0.15, 1.88854, 2.31743, 0.06, 1.70111e-05, 0.00140205, 0.075, 0.6, 0.5
0.2, 1.9004, 2.33199, 0.1, 7.30929e-05, 0.0030074, 0.1, 0.8, 0.5
0.25, 1.91624, 2.35142, 0.15, 0.000223463, 0.0055205, 0.125, 1, 0.5
0.3, 1.93608, 2.37576, 0.209999, 0.000554691, 0.00914775, 0.15, 1.2, 0.5
0.35, 1.95995, 2.40505, 0.279996, 0.00119502, 0.0140984, 0.175, 1.4, 0.5
0.4, 1.98793, 2.43938, 0.359988, 0.00232286, 0.0205851, 0.2, 1.6, 0.5
0.45, 2.0201, 2.47884, 0.449969, 0.00417539, 0.0288246, 0.225, 1.8, 0.5
0.5, 2.36939, 2.90735, 0.549927, 0.00705745, 0.0390383, 0.25, 2, 0.5
0.55, 2.72316, 3.34129, 0.659844, 0.0113506, 0.0514528, 0.275, 2.2, 0.5
0.6, 2.7687, 3.39715, 0.779685, 0.0175222, 0.066301, 0.3, 2.4, 0.5
0.65, 3.13196, 3.84267, 0.909399, 0.026135, 0.0838223, 0.325, 2.6, 0.5
0.7, 3.50035, 4.2944, 1.04891, 0.0378564, 0.104264, 0.35, 2.8, 0.5
0.75, 3.87416, 4.7527, 1.19809, 0.0534676, 0.127881, 0.375, 3, 0.5
0.8, 3.94076, 4.83434, 1.35679, 0.073873, 0.15494, 0.4, 3.2, 0.5
0.85, 4.32644, 5.30707, 1.52475, 0.100108, 0.185716, 0.425, 3.4, 0.5
0.9, 4.71868, 5.78773, 1.70165, 0.133345, 0.220496, 0.45, 3.6, 0.5
0.95, 4.80484, 5.89329, 1.88705, 0.1749, 0.259581, 0.475, 3.8, 0.5
1, 5.21151, 6.39146, 2.08035, 0.226235, 0.300984, 0.477583, 4, 0.0516693
1.05, 5.62613, 6.89922, 2.28091, 0.288492, 0.341829, 0.452583, 4.2, -0.5
1.1, 5.7358, 7.03349, 2.48819, 0.362238, 0.382379, 0.431796, 4.4, -0.415745
1.15, 6.16695, 7.56127, 2.70157, 0.448058, 0.422015, 0.406796, 4.6, -0.5
1.2, 6.6065, 8.09911, 2.92052, 0.546361, 0.460559, 0.381796, 4.8, -0.5
1.25, 7.05443, 8.64698, 3.14447, 0.657474, 0.497834, 0.356796, 5, -0.5
1.3, 7.19722, 8.82158, 3.37291, 0.78163, 0.533665, 0.331796, 5.2, -0.5
1.35, 7.66164, 9.38928, 3.60537, 0.918976, 0.567879, 0.306796, 5.4, -0.5
1.4, 8.13422, 9.96665, 3.84142, 1.06957, 0.600303, 0.281796, 5.6, -0.5
1.45, 8.30112, 10.1705, 4.08072, 1.23339, 0.630764, 0.256796, 5.8, -0.5
1.5, 8.7895, 10.7667, 4.32299, 1.41032, 0.659089, 0.231796, 6, -0.5
1.55, 9.28563, 11.372, 4.56806, 1.60016, 0.685103, 0.206796, 6.2, -0.5
1.6, 9.78934, 11.9862, 4.81585, 1.80264, 0.708644, 0.181878, 6.4, -0.49837
1.65, 9.98638, 12.2263, 5.0664, 2.01741, 0.731344, 0.170306, 6.6, -0.231426
1.7, 10.5047, 12.8576, 5.31946, 2.24449, 0.752571, 0.15483, 6.8, -0.309536
1.75, 11.0302, 13.4973, 5.57494, 2.48372, 0.772243, 0.139602, 7, -0.304558
1.8, 11.2485, 13.7627, 5.83282, 2.73491, 0.791262, 0.131313, 7.2, -0.165781
1.85, 11.788, 14.4186, 6.09291, 2.99806, 0.808984, 0.119176, 7.4, -0.24274
1.9, 12.3346, 15.0825, 6.3552, 3.27303, 0.825318, 0.10705, 7.6, -0.242516
1.95, 12.8881, 15.7541, 6.61975, 3.55958, 0.840315, 0.0958396, 7.8, -0.224206
2, 13.1334, 16.0515, 6.88664, 3.85753, 0.85469, 0.0896037, 8, -0.124717
2.05, 13.7005, 16.7385, 7.15578, 4.16682, 0.867976, 0.0808355, 8.2, -0.175364
2.1, 14.2743, 17.433, 7.42726, 4.48729, 0.880114, 0.0721297, 8.4, -0.174116
2.15, 14.8549, 18.1348, 7.7012, 4.81873, 0.891153, 0.064092, 8.6, -0.160754
2.2, 15.1264, 18.4627, 7.97774, 5.16097, 0.901636, 0.0594926, 8.8, -0.0919873
2.25, 15.7202, 19.1793, 8.25689, 5.51392, 0.911221, 0.0531964, 9, -0.125924
2.3, 16.3208, 19.903, 8.53877, 5.87744, 0.91987, 0.0469739, 9.2, -0.124451
2.35, 16.9281, 20.6338, 8.82355, 6.25133, 0.927627, 0.0412372, 9.4, -0.114734
2.4, 17.2254, 20.9911, 9.11143, 6.63543, 0.934903, 0.0378737, 9.6, -0.0672688
2.45, 17.8459, 21.7362, 9.40244, 7.02965, 0.941447, 0.0333787, 9.8, -0.0899004
2.5, 18.4732, 22.4882, 9.69675, 7.43386, 0.947241, 0.0289582, 10, -0.0884106
2.55, 19.1072, 23.2471, 9.99455, 7.84788, 0.95232, 0.0248918, 10.2, -0.0813266
2.6, 19.4304, 23.6334, 10.296, 8.27156, 0.956991, 0.0224571, 10.4, -0.0486947
2.65, 20.0778, 24.4063, 10.6013, 8.70481, 0.961078, 0.0192756, 10.6, -0.0636301
2.7, 20.7321, 25.1859, 10.9105, 9.14751, 0.96457, 0.0161644, 10.8, -0.0622247
2.75, 21.3933, 25.9724, 11.2239, 9.5995, 0.967499, 0.0133118, 11, -0.0570522
2.8, 21.7425, 26.3871, 11.5416, 10.0606, 0.970091, 0.0115725, 11.2, -0.0347856
2.85, 22.4173, 27.1872, 11.8638, 10.5309, 0.972223, 0.00934888, 11.4, -0.044472
2.9, 23.0992, 27.9941, 12.1906, 11.01, 0.973891, 0.0071889, 11.6, -0.0431997
2.95, 23.7882, 28.8076, 12.5222, 11.498, 0.975122, 0.00521773, 11.8, -0.0394233
3, 24.4844, 29.6277, 12.8589, 11.9947, 0.97595, 0.00345076, 12, -0.0353393
3.05, 24.867, 30.0775, 13.2007, 12.4999, 0.976525, 0.00235708, 12.2, -0.0218738
3.1, 25.5772, 30.9111, 13.5479, 13.0136, 0.976773, 0.000999732, 12.4, -0.0271469
3.15, 26.2949, 31.7512, 13.9005, 13.5357, 0.976697, -0.000304654, 12.6, -0.0260877
3.2, 27.0199, 32.5978, 14.2587, 14.066, 0.976316, -0.00148497, 12.8, -0.0236063
3.25, 27.4298, 33.0754, 14.6228, 14.6045, 0.975737, -0.00222709, 13, -0.0148426
3.3, 28.1693, 33.9353, 14.9927, 15.151, 0.974912, -0.00312832, 13.2, -0.0180244
3.35, 28.9165, 34.8015, 15.3688, 15.7056, 0.973844, -0.00398468, 13.4, -0.0171272
3.4, 29.6713, 35.6741, 15.751, 16.268, 0.972551, -0.0047513, 13.6, -0.0153324
3.45, 30.1093, 36.1792, 16.1396, 16.8381, 0.971106, -0.00523718, 13.8, -0.00971765
3.5, 30.8791, 37.0648, 16.5316, 17.4114, 0.969492, -0.00581094, 13.8889, -0.0114751
3.55, 31.3277, 37.5796, 16.9244, 17.984, 0.967771, -0.00619572, 13.8889, -0.00769564
3.6, 31.7768, 38.094, 17.3183, 18.556, 0.965961, -0.0065151, 13.8889, -0.00638766
3.65, 32.5527, 38.9803, 17.7131, 19.1272, 0.964035, -0.00693106, 13.8889, -0.00831913
3.7, 33.0032, 39.4936, 18.1091, 19.6977, 0.962032, -0.00721243, 13.8889, -0.00562747
3.75, 33.4543, 40.0065, 18.5062, 20.2674, 0.959964, -0.00744543, 13.8889, -0.00466006
3.8, 33.906, 40.519, 18.9045, 20.8363, 0.957838, -0.0076533, 13.8889, -0.00415737
3.85, 34.3582, 41.0311, 19.304, 21.4043, 0.955659, -0.00784263, 13.8889, -0.00378661
3.9, 34.811, 41.5428, 19.7048, 21.9715, 0.953433, -0.00801562, 13.8889, -0.00345979
3.95, 35.2645, 42.0542, 20.1068, 22.5377, 0.951162, -0.0081733, 13.8889, -0.00315355
4, 35.7185, 42.5651, 20.5101, 23.1031, 0.948852, -0.00831638, 13.8889, -0.00286161
